일자,time,교통량
2019-11-20,257,11
2019-11-21,289,7
2019-11-22,274,20
2019-11-23,283,24
2019-11-24,264,19
2019-11-25,262,15
2019-11-26,258,12
2019-11-27,259,18
2019-11-28,255,15
2019-11-29,280,24
2019-11-30,265,18
2019-12-01,253,15
2019-12-02,271,10
2019-12-03,287,10
2019-12-04,262,8
2019-12-05,247,15
2019-12-06,272,18
2019-12-07,280,27
2019-12-08,257,17
2019-12-09,289,15
2019-12-10,261,15
2019-12-11,266,14
2019-12-12,256,10
2019-12-13,258,13
2019-12-14,261,26
2019-12-15,256,18
2019-12-16,248,22
2019-12-17,262,13
2019-12-18,259,15
2019-12-19,301,19
2019-12-20,268,22
2019-12-21,280,33
2019-12-22,250,23
2019-12-23,259,16
2019-12-24,307,23
2019-12-25,240,17
2019-12-26,273,28
2019-12-27,273,18
2019-12-28,281,24
2019-12-29,269,29
2019-12-30,263,23
2019-12-31,261,17
2020-01-01,291,29
2020-01-02,262,13
2020-01-03,277,21
2020-01-04,243,17
2020-01-05,286,18
2020-01-06,259,20
2020-01-07,270,12
2020-01-08,278,15
2020-01-09,271,18
2020-01-10,251,11
2020-01-11,267,25
2020-01-12,251,16
2020-01-13,262,17
2020-01-14,247,10
2020-01-15,253,9
2020-01-16,248,9
2020-01-17,260,23
2020-01-18,266,23
2020-01-19,245,11
2020-01-20,257,7
2020-01-21,265,14
2020-01-22,274,17
2020-01-23,309,44
2020-01-24,404,64
2020-01-25,307,27
2020-01-26,269,24
2020-01-27,264,22
2020-01-28,274,16
2020-01-29,250,17
2020-01-30,249,15
2020-01-31,239,14
2020-02-01,255,9
2020-02-02,245,24
2020-02-03,255,16
2020-02-04,271,13
2020-02-05,249,14
2020-02-06,234,10
2020-02-07,271,17
2020-02-08,256,19
2020-02-09,235,14
2020-02-10,245,12
2020-02-11,241,7
2020-02-12,301,9
2020-02-13,278,13
2020-02-14,258,22
2020-02-15,258,33
2020-02-16,273,15
2020-02-17,264,18
2020-02-18,261,12
2020-02-19,250,11
2020-02-20,255,12
2020-02-21,257,18
2020-02-22,244,17
2020-02-23,252,18
2020-02-24,230,11
2020-02-25,264,13
2020-02-26,269,10
2020-02-27,248,15
2020-02-28,240,9
2020-02-29,243,22
2020-03-01,240,17
2020-03-02,257,12
2020-03-03,267,13
2020-03-04,268,12
2020-03-05,223,10
2020-03-06,247,18
2020-03-07,240,21
2020-03-08,236,12
2020-03-09,231,8
2020-03-10,268,8
2020-03-11,263,23
2020-03-12,269,19
2020-03-13,239,13
2020-03-14,247,10
2020-03-15,229,17
2020-03-16,265,17
2020-03-17,262,10
2020-03-18,243,11
2020-03-19,226,12
2020-03-20,327,16
2020-03-21,246,23
2020-03-22,221,12
2020-03-23,249,17
2020-03-24,246,11
2020-03-25,272,20
2020-03-26,244,11
2020-03-27,235,7
2020-03-28,240,22
2020-03-29,226,15
2020-03-30,244,11
2020-03-31,247,14
2020-04-01,260,10
2020-04-02,253,21
2020-04-03,243,13
2020-04-04,255,21
2020-04-05,251,13
2020-04-06,256,12
2020-04-07,256,12
2020-04-08,286,9
2020-04-09,242,8
2020-04-10,260,17
2020-04-11,251,27
2020-04-12,228,12
2020-04-13,243,16
2020-04-14,262,16
2020-04-15,241,8
2020-04-16,285,12
2020-04-17,262,14
2020-04-18,246,17
2020-04-19,261,16
2020-04-20,242,9
2020-04-21,257,7
2020-04-22,229,4
2020-04-23,257,15
2020-04-24,253,14
2020-04-25,265,24
2020-04-26,251,16
2020-04-27,292,15
2020-04-28,247,17
2020-04-29,255,17
2020-04-30,324,54
2020-05-01,274,44
2020-05-02,270,23
2020-05-03,250,30
2020-05-04,258,20
2020-05-05,261,17
2020-05-06,249,18
2020-05-07,249,19
2020-05-08,247,9
2020-05-09,283,17
2020-05-10,253,22
2020-05-11,261,18
2020-05-12,254,11
2020-05-13,347,14
2020-05-14,242,11
2020-05-15,271,15
2020-05-16,265,12
2020-05-17,225,18
2020-05-18,257,15
2020-05-19,251,4
2020-05-20,241,10
2020-05-21,232,8
2020-05-22,244,7
2020-05-23,269,24
2020-05-24,248,19
2020-05-25,268,13
2020-05-26,280,13
2020-05-27,307,15
2020-05-28,244,14
2020-05-29,249,17
2020-05-30,278,12
2020-05-31,242,11
2020-06-01,269,8
2020-06-02,265,12
2020-06-03,257,13
2020-06-04,259,9
2020-06-05,275,10
2020-06-06,277,23
2020-06-07,254,12
2020-06-08,250,12
2020-06-09,253,13
2020-06-10,246,14
2020-06-11,288,8
2020-06-12,267,13
2020-06-13,272,18
2020-06-14,250,12
2020-06-15,279,14
2020-06-16,259,9
2020-06-17,264,10
2020-06-18,274,10
2020-06-19,281,13
2020-06-20,284,15
2020-06-21,252,14
2020-06-22,232,11
2020-06-23,279,12
2020-06-24,260,9
2020-06-25,281,10
2020-06-26,247,19
2020-06-27,250,21
2020-06-28,238,14
2020-06-29,246,14
